Step: 1416; Loss/train: 5.024884; Acc/train: 0.072895
Step: 2832; Loss/train: 3.270280; Acc/train: 0.276240
Step: 4248; Loss/train: 2.620024; Acc/train: 0.394244
Step: 5664; Loss/train: 2.235832; Acc/train: 0.469677
Step: 7080; Loss/train: 1.965883; Acc/train: 0.524740
Step: 8496; Loss/train: 1.774082; Acc/train: 0.565722
Step: 9912; Loss/train: 1.624345; Acc/train: 0.598671
Step: 11328; Loss/train: 1.499740; Acc/train: 0.622506
Step: 12744; Loss/train: 1.408102; Acc/train: 0.643273
Step: 14160; Loss/train: 1.327025; Acc/train: 0.662142
Step: 15576; Loss/train: 1.261695; Acc/train: 0.675759
Step: 16992; Loss/train: 1.205208; Acc/train: 0.690744
Step: 18408; Loss/train: 1.169358; Acc/train: 0.699064
Step: 19824; Loss/train: 1.114172; Acc/train: 0.709613
Step: 21240; Loss/train: 1.078305; Acc/train: 0.717139
Step: 22656; Loss/train: 1.039415; Acc/train: 0.726540
Step: 24072; Loss/train: 1.018205; Acc/train: 0.727423
Step: 25488; Loss/train: 0.992026; Acc/train: 0.735787
Step: 26904; Loss/train: 0.953872; Acc/train: 0.743732
Step: 28320; Loss/train: 0.940972; Acc/train: 0.746954
Step: 29736; Loss/train: 0.921220; Acc/train: 0.752141
Step: 31152; Loss/train: 0.906141; Acc/train: 0.755495
Step: 32568; Loss/train: 0.878664; Acc/train: 0.760704
Step: 33984; Loss/train: 0.856991; Acc/train: 0.766419
Step: 35400; Loss/train: 0.846280; Acc/train: 0.769664
Step: 36816; Loss/train: 0.833508; Acc/train: 0.772665
Step: 38232; Loss/train: 0.809473; Acc/train: 0.778778
Step: 39648; Loss/train: 0.796959; Acc/train: 0.781471
Step: 41064; Loss/train: 0.791175; Acc/train: 0.780367
Step: 42480; Loss/train: 0.779063; Acc/train: 0.781427
Step: 43896; Loss/train: 0.765179; Acc/train: 0.786767
Step: 45312; Loss/train: 0.746093; Acc/train: 0.792439
Step: 46728; Loss/train: 0.735234; Acc/train: 0.792152
Step: 48144; Loss/train: 0.726409; Acc/train: 0.798243
Step: 49560; Loss/train: 0.728447; Acc/train: 0.796456
Step: 50976; Loss/train: 0.716353; Acc/train: 0.798354
Step: 52392; Loss/train: 0.699421; Acc/train: 0.803452
Step: 53808; Loss/train: 0.694296; Acc/train: 0.804732
Step: 55224; Loss/train: 0.691764; Acc/train: 0.805085
Step: 56640; Loss/train: 0.675823; Acc/train: 0.810050
Step: 58056; Loss/train: 0.660960; Acc/train: 0.813824
Step: 59472; Loss/train: 0.658031; Acc/train: 0.812654
Step: 60888; Loss/train: 0.654152; Acc/train: 0.815810
Step: 62304; Loss/train: 0.653133; Acc/train: 0.814354
Step: 63720; Loss/train: 0.647496; Acc/train: 0.815281
Step: 65136; Loss/train: 0.626178; Acc/train: 0.819937
Step: 66552; Loss/train: 0.629137; Acc/train: 0.820688
Step: 67968; Loss/train: 0.624307; Acc/train: 0.821372
Step: 69384; Loss/train: 0.611688; Acc/train: 0.825631
Step: 70800; Loss/train: 0.612476; Acc/train: 0.824439
Step: 72216; Loss/train: 0.593703; Acc/train: 0.830244
Step: 73632; Loss/train: 0.602205; Acc/train: 0.825852
Step: 75048; Loss/train: 0.592892; Acc/train: 0.828213
Step: 76464; Loss/train: 0.586955; Acc/train: 0.831788
Step: 77880; Loss/train: 0.578533; Acc/train: 0.832561
Step: 79296; Loss/train: 0.580459; Acc/train: 0.833929
Step: 80712; Loss/train: 0.578083; Acc/train: 0.833157
Step: 82128; Loss/train: 0.564019; Acc/train: 0.837416
Step: 83544; Loss/train: 0.564685; Acc/train: 0.834393
Step: 84960; Loss/train: 0.569497; Acc/train: 0.835871
Step: 86376; Loss/train: 0.550113; Acc/train: 0.838851
Step: 87792; Loss/train: 0.548114; Acc/train: 0.840131
Step: 89208; Loss/train: 0.546228; Acc/train: 0.841918
Step: 90624; Loss/train: 0.551976; Acc/train: 0.840528
Step: 92040; Loss/train: 0.542808; Acc/train: 0.841190
Step: 93456; Loss/train: 0.540303; Acc/train: 0.843309
Step: 94872; Loss/train: 0.530164; Acc/train: 0.845030
Step: 96288; Loss/train: 0.529705; Acc/train: 0.845582
Step: 97704; Loss/train: 0.532150; Acc/train: 0.845449
Step: 99120; Loss/train: 0.526328; Acc/train: 0.846884
Step: 100536; Loss/train: 0.525774; Acc/train: 0.845383
Step: 101952; Loss/train: 0.516532; Acc/train: 0.850834
Step: 103368; Loss/train: 0.507250; Acc/train: 0.850525
Step: 104784; Loss/train: 0.506388; Acc/train: 0.851187
Step: 106200; Loss/train: 0.499729; Acc/train: 0.853262
Step: 107616; Loss/train: 0.501829; Acc/train: 0.853416
Step: 109032; Loss/train: 0.500021; Acc/train: 0.853063
Step: 110448; Loss/train: 0.502123; Acc/train: 0.853041
Step: 111864; Loss/train: 0.495643; Acc/train: 0.851695
