Step: 1416; Loss/train: 5.015571; Acc/train: 0.069717
Step: 2832; Loss/train: 3.510381; Acc/train: 0.232808
Step: 4248; Loss/train: 2.910290; Acc/train: 0.337129
Step: 5664; Loss/train: 2.526713; Acc/train: 0.410289
Step: 7080; Loss/train: 2.268125; Acc/train: 0.462681
Step: 8496; Loss/train: 2.075230; Acc/train: 0.501633
Step: 9912; Loss/train: 1.925407; Acc/train: 0.533302
Step: 11328; Loss/train: 1.799398; Acc/train: 0.559168
Step: 12744; Loss/train: 1.682419; Acc/train: 0.582142
Step: 14160; Loss/train: 1.597587; Acc/train: 0.599179
Step: 15576; Loss/train: 1.524831; Acc/train: 0.615885
Step: 16992; Loss/train: 1.466730; Acc/train: 0.628818
Step: 18408; Loss/train: 1.396397; Acc/train: 0.643273
Step: 19824; Loss/train: 1.338391; Acc/train: 0.656802
Step: 21240; Loss/train: 1.302833; Acc/train: 0.666556
Step: 22656; Loss/train: 1.257511; Acc/train: 0.676201
Step: 24072; Loss/train: 1.215009; Acc/train: 0.685448
Step: 25488; Loss/train: 1.185625; Acc/train: 0.690325
Step: 26904; Loss/train: 1.149248; Acc/train: 0.699417
Step: 28320; Loss/train: 1.115544; Acc/train: 0.705862
Step: 29736; Loss/train: 1.094800; Acc/train: 0.712924
Step: 31152; Loss/train: 1.068811; Acc/train: 0.715219
Step: 32568; Loss/train: 1.045486; Acc/train: 0.722678
Step: 33984; Loss/train: 1.011002; Acc/train: 0.732080
Step: 35400; Loss/train: 1.008086; Acc/train: 0.729718
Step: 36816; Loss/train: 0.982312; Acc/train: 0.736538
Step: 38232; Loss/train: 0.960055; Acc/train: 0.741172
Step: 39648; Loss/train: 0.944730; Acc/train: 0.745939
Step: 41064; Loss/train: 0.925479; Acc/train: 0.751280
Step: 42480; Loss/train: 0.909898; Acc/train: 0.754039
Step: 43896; Loss/train: 0.901414; Acc/train: 0.753575
Step: 45312; Loss/train: 0.897754; Acc/train: 0.755385
Step: 46728; Loss/train: 0.861637; Acc/train: 0.761675
Step: 48144; Loss/train: 0.852650; Acc/train: 0.765493
Step: 49560; Loss/train: 0.849273; Acc/train: 0.765647
Step: 50976; Loss/train: 0.837241; Acc/train: 0.770745
Step: 52392; Loss/train: 0.822769; Acc/train: 0.776152
